Volatility 3 Framework 2.28.0

OFFSET (V)	PID	TID	PPID	COMM
* 0x926c41970000	42	42	2	writeback
* 0x926c41972000	43	43	2	kcompactd0
* 0x926c41976000	44	44	2	ksmd
* 0x926c41974000	45	45	2	khugepaged
* 0x926c4198e000	52	52	2	kworker/1:1
* 0x926c41ac8000	55	55	2	kworker/2:1
* 0x926c41b64000	93	93	2	kintegrityd
* 0x926c41b72000	94	94	2	kblockd
* 0x926c41b76000	95	95	2	blkcg_punt_bio
* 0x926c41b74000	96	96	2	tpm_dev_wq
* 0x926c41b70000	97	97	2	ata_sff
* 0x926c41cc0000	98	98	2	md
* 0x926c41cc2000	99	99	2	edac-poller
* 0x926c41cc6000	100	100	2	devfreq_wq
* 0x926c41cc4000	101	101	2	watchdogd
* 0x926c41ae6000	102	102	2	kworker/3:1
* 0x926c41ae2000	103	103	2	kworker/u8:1
* 0x926c41ae0000	104	104	2	kworker/0:1H
* 0x926c41b62000	106	106	2	kswapd0
* 0x926c41b60000	107	107	2	ecryptfs-kthrea
* 0x926c41b5e000	109	109	2	kthrotld
* 0x926c41b5a000	110	110	2	irq/24-aerdrv
* 0x926c41b58000	111	111	2	irq/25-aerdrv
* 0x926c41b46000	112	112	2	irq/26-aerdrv
* 0x926c41b42000	113	113	2	irq/27-aerdrv
* 0x926c41b40000	114	114	2	irq/28-aerdrv
* 0x926c41b44000	115	115	2	irq/29-aerdrv
* 0x926c41ada000	116	116	2	irq/30-aerdrv
* 0x926c41ad8000	117	117	2	irq/31-aerdrv
* 0x926c41adc000	118	118	2	irq/32-aerdrv
* 0x926c41ade000	119	119	2	irq/33-aerdrv
* 0x926c41ace000	120	120	2	irq/34-aerdrv
* 0x926c41aca000	121	121	2	irq/35-aerdrv
* 0x926c41acc000	122	122	2	irq/36-aerdrv
* 0x926c41afc000	123	123	2	irq/37-aerdrv
* 0x926c41afe000	124	124	2	acpi_thermal_pm
* 0x926c41afa000	125	125	2	kworker/u8:2
* 0x926c41af8000	126	126	2	vfio-irqfd-clea
* 0x926c41af0000	127	127	2	mld
* 0x926c41af4000	128	128	2	kworker/2:1H
* 0x926c41af6000	129	129	2	ipv6_addrconf
* 0x926c41aee000	131	131	2	kworker/u8:3
* 0x926c47bbe000	139	139	2	kstrp
* 0x926c47bba000	142	142	2	zswap-shrink
* 0x926c47bd6000	143	143	2	kworker/u9:0
* 0x926c58486000	148	148	2	charger_manager
* 0x926c584a4000	171	171	2	kworker/1:1H
* 0x926c584a0000	189	189	2	kworker/0:2
* 0x926c5849c000	190	190	2	hwrng
* 0x926c5849e000	191	191	2	scsi_eh_0
* 0x926c5849a000	192	192	2	kworker/3:1H
* 0x926c58498000	193	193	2	scsi_tmf_0
* 0x926c58482000	194	194	2	scsi_eh_1
* 0x926c58480000	195	195	2	scsi_tmf_1
* 0x926c58484000	196	196	2	scsi_eh_2
* 0x926c41988000	197	197	2	scsi_tmf_2
* 0x926c4198a000	198	198	2	scsi_eh_3
* 0x926c47bd2000	199	199	2	scsi_tmf_3
* 0x926c47bbc000	200	200	2	scsi_eh_4
* 0x926c41b66000	201	201	2	scsi_tmf_4
* 0x926c41b4e000	202	202	2	scsi_eh_5
* 0x926c41b48000	203	203	2	scsi_tmf_5
* 0x926c41b4c000	204	204	2	kworker/u8:4
* 0x926c4198c000	205	205	2	kworker/u8:5
* 0x926c6f988000	206	206	2	cryptd
* 0x926c6f98a000	207	207	2	kworker/u8:6
* 0x926c41b4a000	208	208	2	kworker/u8:7
* 0x926c6f980000	245	245	2	kworker/1:2
* 0x926c6f982000	246	246	2	kworker/u8:8
* 0x926c41984000	266	266	2	kworker/1:3
* 0x926c6f9a4000	267	267	2	kworker/2:2
* 0x926c6f986000	282	282	2	kworker/3:2
* 0x926c6f984000	291	291	2	raid5wq
* 0x926c6f44c000	339	339	2	jbd2/vda2-8
* 0x926c6f44a000	340	340	2	ext4-rsv-conver
* 0x926c6f962000	443	443	2	kaluad
* 0x926c6f960000	444	444	2	kmpath_rdacd
* 0x926c6f45a000	446	446	2	kmpathd
* 0x926c6f45e000	447	447	2	kmpath_handlerd
* 0x926c6f974000	450	450	2	kworker/3:3
* 0x926c41ae4000	693	693	2	kworker/0:3
* 0x926c4a9ea000	705	705	2	kworker/0:4
