Volatility 3 Framework 2.28.0

PID	Process	Start	End	File Path	File Output
409	systemd-journal	0x7f6ad9128000	0x7f6ad912b000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
409	systemd-journal	0x7f6ad9135000	0x7f6ad913c000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
409	systemd-journal	0x7f6ad916c000	0x7f6ad916e000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
409	systemd-journal	0x7f6ad9176000	0x7f6ad919e000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
409	systemd-journal	0x7f6ad939f000	0x7f6ad93a5000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
409	systemd-journal	0x7f6ad93d1000	0x7f6ad9422000	/usr/lib/systemd/libsystemd-shared-249.so	Disabled
409	systemd-journal	0x7f6ad968b000	0x7f6ad968d000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
409	systemd-journal	0x7f6ad96b7000	0x7f6ad96c2000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
409	systemd-journal	0x7fff02cba000	0x7fff02cbc000	[vdso]	Disabled
448	multipathd	0x562fbd256000	0x562fbd25c000	/usr/sbin/multipathd	Disabled
448	multipathd	0x7fb904f8b000	0x7fb904f8c000	/usr/lib/multipath/libprioconst.so	Disabled
448	multipathd	0x7fb905791000	0x7fb905794000	/usr/lib/x86_64-linux-gnu/libgcc_s.so.1	Disabled
448	multipathd	0x7fb905fb6000	0x7fb905fba000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
448	multipathd	0x7fb905fdc000	0x7fb905fde000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
448	multipathd	0x7fb906073000	0x7fb906082000	/usr/lib/x86_64-linux-gnu/libgcrypt.so.20.3.4	Disabled
448	multipathd	0x7fb9061b3000	0x7fb9061b6000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
448	multipathd	0x7fb9061be000	0x7fb9061c0000	/usr/lib/x86_64-linux-gnu/liblz4.so.1.9.3	Disabled
448	multipathd	0x7fb9061de000	0x7fb9061e8000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
448	multipathd	0x7fb9062ad000	0x7fb9062b0000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
448	multipathd	0x7fb9062d8000	0x7fb9062e6000	/usr/lib/x86_64-linux-gnu/libtinfo.so.6.3	Disabled
448	multipathd	0x7fb90630a000	0x7fb906318000	/usr/lib/x86_64-linux-gnu/libm.so.6	Disabled
448	multipathd	0x7fb9063f1000	0x7fb9063f7000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
448	multipathd	0x7fb90641f000	0x7fb906420000	/usr/lib/x86_64-linux-gnu/libaio.so.1.0.1	Disabled
448	multipathd	0x7fb906424000	0x7fb90644c000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
448	multipathd	0x7fb90664d000	0x7fb906660000	/usr/lib/x86_64-linux-gnu/libsystemd.so.0.32.0	Disabled
448	multipathd	0x7fb906714000	0x7fb906728000	/usr/lib/x86_64-linux-gnu/libreadline.so.8.1	Disabled
448	multipathd	0x7fb906768000	0x7fb906772000	/usr/lib/x86_64-linux-gnu/libdevmapper.so.1.02.1	Disabled
448	multipathd	0x7fb9067d7000	0x7fb9067d9000	/usr/lib/x86_64-linux-gnu/liburcu.so.8.0.0	Disabled
448	multipathd	0x7fb9067e1000	0x7fb9067e5000	/usr/lib/x86_64-linux-gnu/libudev.so.1.7.2	Disabled
448	multipathd	0x7fb90680b000	0x7fb90680c000	/usr/lib/libmpathcmd.so.0	Disabled
448	multipathd	0x7fb906810000	0x7fb906812000	/usr/lib/libmpathpersist.so.0	Disabled
448	multipathd	0x7fb90681b000	0x7fb906827000	/usr/lib/libmultipath.so.0	Disabled
448	multipathd	0x7fb906881000	0x7fb906882000	/usr/lib/multipath/libchecktur.so	Disabled
448	multipathd	0x7fb906888000	0x7fb90688a000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
448	multipathd	0x7fb9068b4000	0x7fb9068bf000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
448	multipathd	0x7ffdab59d000	0x7ffdab59f000	[vdso]	Disabled
452	systemd-udevd	0x55aec24b0000	0x55aec24c5000	/usr/bin/udevadm	Disabled
452	systemd-udevd	0x7f33df085000	0x7f33df087000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
452	systemd-udevd	0x7f33df11c000	0x7f33df1ce000	/usr/lib/x86_64-linux-gnu/libcrypto.so.3	Disabled
452	systemd-udevd	0x7f33df560000	0x7f33df563000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
452	systemd-udevd	0x7f33df58b000	0x7f33df595000	/usr/lib/x86_64-linux-gnu/libzstd.so.1.4.8	Disabled
452	systemd-udevd	0x7f33df65a000	0x7f33df682000	/usr/lib/x86_64-linux-gnu/libc.so.6	Disabled
452	systemd-udevd	0x7f33df885000	0x7f33df88b000	/usr/lib/x86_64-linux-gnu/libselinux.so.1	Disabled
452	systemd-udevd	0x7f33df8b1000	0x7f33df8b4000	/usr/lib/x86_64-linux-gnu/libcap.so.2.44	Disabled
452	systemd-udevd	0x7f33df8bc000	0x7f33df8c3000	/usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0	Disabled
452	systemd-udevd	0x7f33df8f3000	0x7f33df8f5000	/usr/lib/x86_64-linux-gnu/libacl.so.1.1.2301	Disabled
452	systemd-udevd	0x7f33df8fd000	0x7f33df901000	/usr/lib/x86_64-linux-gnu/libkmod.so.2.3.7	Disabled
452	systemd-udevd	0x7f33df921000	0x7f33df923000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
452	systemd-udevd	0x7f33df94d000	0x7f33df958000	/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2	Disabled
452	systemd-udevd	0x7ffebefb9000	0x7ffebefbb000	[vdso]	Disabled
506	systemd-timesyn	0x56277fcac000	0x56277fcaf000	/usr/lib/systemd/systemd-timesyncd	Disabled
506	systemd-timesyn	0x7f8e17739000	0x7f8e1773b000	/usr/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0	Disabled
506	systemd-timesyn	0x7f8e17741000	0x7f8e17743000	/usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4	Disabled
506	systemd-timesyn	0x7f8e177d8000	0x7f8e177db000	/usr/lib/x86_64-linux-gnu/libaudit.so.1.0.0	Disabled
506	systemd-timesyn	0x7f8e17806000	0x7f8e1780a000	/usr/lib/x86_64-linux-gnu/libgpg-error.so.0.32.1	Disabled
506	systemd-timesyn	0x7f8e1782c000	0x7f8e1782f000	/usr/lib/x86_64-linux-gnu/liblzma.so.5.2.5	Disabled
